property_name,breadcrumbs,price,image_url,description,seller_name,location,property_type,bathrooms,bedrooms
"INDEPENDENT ODDU HOUSE FOR RENT NEAR MALAPARAMBU, C","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Malaparamba,INDEPENDENT ODDU HOUSE FOR RENT NEAR MALAPARAMBU, C","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/37gc2f3dmxqc1-IN/image;s=850x0,"INDEPENDENT OODU HOUSE FOR RENT MALAPARAMBU, CALICUT.,2 BED ROOM ONE BATHROOM,HALL,KITCHEN,WELL WATER,CAR SITE,ADVANCE:50000/-,RENT:12000/-",Super Deal,"Malaparamba, Kozhikode, Kerala",Individual House / Villa,1,2
DOUBLE STOREYED HOUSE FOR RENT MANKAVU KOZHIKODE,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,DOUBLE STOREYED HOUSE FOR RENT MANKAVU KOZHIKODE","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/y07h4m267p0e-IN/image;s=850x0,"DOUBLE STOREYED HOUSE FOR RENT MANKAVU KOZHIKODE,MOB 934    91  15    56   96,RENT 20000,ADVANCE 60000,GOOD EMPLOYEES' FAMILY ONLY",Super Deal,"Mankavu, Kozhikode, Kerala",Individual House / Villa,3,3
PVS Rose Garden flat of KTC Group,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,PVS Rose Garden flat of KTC Group","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/dum8glw63n963-IN/image;s=850x0,"1000 sq ft 2 bed room flat at 2nd floor of PVS Rose Garden at Kallittanada, Govindapuram with a monthly rent of Rs 16000 and interest free rent advance of Rs 60000. Preference will be given to Govt Employees, Bank Officials, Doctors  employees of reputed Companies etc. The flat is within half kilometer radius of MIMS Hospital,PNB Circle Office,Lulu Hyper Market and Gokulam Public School.Brokers please excuse.Walkable distance only to Mini By pass.",Santhosh kumar K V,"Govindapuram, Kozhikode, Kerala",Flats / Apartments,2,2
"2Bhk House for rent in pottammal, Kozhikode.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Pottammal,2Bhk House for rent in pottammal, Kozhikode.","{'amount': '16000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/loclfnfuucnq2-IN/image;s=850x0,"2Bhk House for rent in pottammal, Kozhikode.",Anoop Nair,"Pottammal, Kozhikode, Kerala",Individual House / Villa,3,3
Adv 40000/- rent 12000/-,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayade,Adv 40000/- rent 12000/-","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hbyr8omlpvi43-IN/image;s=850x0,Nr star car hospital. Thondayad,Arun,"Thondayade, Kozhikode, Kerala",Independent / Builder Floors,2,3
Fully furnished studio flat for rent at thondayad bypass,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Fully furnished studio flat for rent at thondayad bypass","{'amount': '18000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/5p3wk2el2hbk2-IN/image;s=850x0,"FULLY FURNISHED STUDIO FLAT FOR RENT AT THONDAYAD BYPASS NEAR CYBER PARK,* Excellent view from Balcony,* Fully Furnished,* All electronics are available ,* Modular Kitchen,AMENITIES,* Swimming Pool (Common & Ladies),* Gym,* Mini theatre,* Indoor Games,* Guest Suite ,* Kids park,* Club House,* Super market,* Restaurant ,* 24/7 CCTV,* 24/7 Security and caretaker,* Power backup,* Pic may not be original ,For more details please contact ,Planet homes ,Karaparamba",Planet Homes,"Thondayad, Kozhikode, Kerala",Flats / Apartments,1,1
Flat for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Olavanna,For Rent: Houses & Apartments in Thottummaram,Flat for rent","{'amount': '17000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/h7mjzbbb5fvj2-IN/image;s=850x0,"Flat for rent only direct party contact , ,DM here",Bincik lal,"Thottummaram, Olavanna, Kerala",Flats / Apartments,2,2
NEW FULLFURNISHED UPSTAIRE FOR REN NEAR PUTHIYARA CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyara,NEW FULLFURNISHED UPSTAIRE FOR REN NEAR PUTHIYARA CALICUT","{'amount': '28000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/q3khreh47pmb-IN/image;s=850x0,"NEW FULLFURNISHED UPSTAIRE FOR REN NEAR PUTHIYARA CALICUT,MOB   93    49    15    56     96,RENT 28000,ADVANCE 90000",Super Deal,"Puthiyara, Kozhikode, Kerala",Individual House / Villa,2,3
Apartment for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Apartment for rent","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/i27sa23zfi2o2-IN/image;s=850x0,"ഫാമിലിക്കും ബാച്ച്ലേഴ്സ‌ിനും പറ്റിയ നല്ല വീട് അപ്പാർട്മെന്റ് ഫ്ലാറ്റ് വില്ല ഫർണിഷ് ചെയ്തതും അല്ലാത്തതും,ഓഫീസ് ഗോഡൗൺ ഷോപ്പ് റൂംസ് കാലിക്കറ്റ് എല്ലായിടത്തും നിങ്ങളുടെ ബഡ്‌ജറ്റ് അനുസരിച് ഞങ്ങളുടെ മുകളിൽ കൊടുത്ത നമ്പറിൽ വിളിക്കു  ചെറിയ ബഡ്‌ജറ്റ് മുതൽ വലിയ ബഡ്‌ജറ്റ് വരെ ഉള്ള എല്ലാ പ്രോപ്പർട്ടികളും,Good House for Family and Bachelors Apartment Flat Villa Furnished and Unfurnished, Office Godown Shop Rooms Calicut Anywhere According to your budget Call us on the number given above All properties from small budget to big budget",Rotana Nice Deal's,"Thondayad, Kozhikode, Kerala",Flats / Apartments,2,2
3 bhk villa near chevayur,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,3 bhk villa near chevayur","{'amount': '25000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/dwsgszeyo0ye3-IN/image;s=850x0,3 bhk bhk villa near chevayur,Muneer..,"Chevayoor, Kozhikode, Kerala",Individual House / Villa,3,3
"Branded Furnished Studio Flat For Rent at Thondayad , Calicut (NT)","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Branded Furnished Studio Flat For Rent at Thondayad , Calicut (NT)","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ica8w5ium5i8-IN/image;s=850x0,"Are you looking for a Branded Flat ?,Here it is !,Studio Flat Available For Rent ,,469 sq.ft Fully- Furnished Flat for Rent at  Thondayad, Calicut,Rent : 20,000/-,**Amenities:**,* Fitness Center: Stay fit with state-of-the-art gym facilities.,* 24/7 Security: Ensuring your safety with advanced security systems.,* Children’s Play Area: Safe and fun space for kids to play.,* Community Hall: Ideal for hosting gatherings and events.,* Ample Parking: Secure parking space for your vehicles.,* Power Backup: Uninterrupted power supply for your convenience.,* Landscaped Gardens: Serene and beautiful green spaces.,""Note : Image shown are only for business purpose , actual building / Land may differ."",Other Available properties,*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-,* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-,* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-,*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-,* kottuli ,2bhk , 1000sq.ft,semi , 23000/-,*calicut Beach , 3bhk, 1600sq.ft,26000/-,* YMC , 1bhk, 700sq.ft semi,25000/-,* methoott Thazham 2bhk 800sq.ft semi , 16500/-,*pottammal, 3bhk , furnshed,25000/-,* East Hill, 3Bhk, Semi Furbished,23000/-,For More details, Contact:,Big Deals Realtors,4th Floor , Hilite Business Park , Palazhy - Calicut -,About Us :,Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.,We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.,We Provide the following Specialised Features :,* Hassle free Documentation,* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property,* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc",Big Deals,"Thondayad, Kozhikode, Kerala",Flats / Apartments,1,1
Fully furnished 2 BHK flat at HI LITE CITY,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Fully furnished 2 BHK flat at HI LITE CITY","{'amount': '35000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/qwd7bnnx66jf-IN/image;s=850x0,Fully furnished 2 BHK flat at HI LITE CITY,Muneer..,"Thondayad, Kozhikode, Kerala",Flats / Apartments,,2
തൊണ്ടയാട് രണ്ടു ബെഡ്റൂം വീട് വാടകയ്ക്ക്,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,തൊണ്ടയാട് രണ്ടു ബെഡ്റൂം വീട് വാടകയ്ക്ക്","{'amount': '13501', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/nezica4uhpm3-IN/image;s=850x0,ഫാമിലിക്കോ അല്ലെങ്കിൽ ബാച്ചിലർന്നോ കിണർ വെള്ളം ചെറിയ കാർ പാർക്കിംഗ്,RRR,"Thondayad, Kozhikode, Kerala",Individual House / Villa,2,2
കോഴിക്കോട് ചേവരമ്പലം നാലു ബെഡ്റൂം കാലി വീട് വാടകയ്ക്ക്,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,കോഴിക്കോട് ചേവരമ്പലം നാലു ബെഡ്റൂം കാലി വീട് വാടകയ്ക്ക്","{'amount': '22501', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/z49kn66dnsff-IN/image;s=850x0,ഫാമിലിക്കോ അല്ലെങ്കിൽ ലേഡീസിനോ കിണർ വെള്ളം കാർ പാർക്കിംഗ് ബാക്കി എല്ലാ സൗകര്യങ്ങളും ഉണ്ട്,RRR,"Thondayad, Kozhikode, Kerala",Individual House / Villa,4,4
"DOUBLE STORIED HOSTEL HOUSE  FOR RENT NEAR AREEKAD, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Areekad,DOUBLE STORIED HOSTEL HOUSE  FOR RENT NEAR AREEKAD, CALICUT.","{'amount': '50000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/vantaf4cio4u2-IN/image;s=850x0,"DOUBLE STORIED HOSTEL HOUSE  FOR RENT NEAR AREEKAD, CALICUT.,10 BEDROOM,12 BATHROOM, HALL, KITCHEN, WORK AREA,LIVING ROOM,KWA WATER &WELL WATER, 5CAR PARKING. ,ADVANCE:1.5LAKH,RENT:50000/-",Super Deal,"Areekad, Kozhikode, Kerala",Individual House / Villa,4+,4+
FULL FURNISHED GROUND FLOR FOR RENT NEAR MIMS HOSPITAL CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FULL FURNISHED GROUND FLOR FOR RENT NEAR MIMS HOSPITAL CALICUT","{'amount': '22000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/oq1gjfy8orbk3-IN/image;s=850x0,"FULL FURNISHED GROUND FLOR FOR RENT NEAR MIMS HOSPITAL CALICUT,RENT 22000,ADVANCE 50000",Super Deal,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,2,2
Rented house.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in West Nadakkavu,Rented house.","{'amount': '15000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ys8u6eod2nh51-IN/image;s=850x0,"Residential area, good location.",OLX User,"West Nadakkavu, Kozhikode, Kerala",Independent / Builder Floors,2,2
4 bhk house for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,4 bhk house for rent","{'amount': '38000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/1urgda4s0pae1-IN/image;s=850x0,"4 bhk fully furnished house for rent near Lulu mall, Calicut.",Minsa properties,"Mankavu, Kozhikode, Kerala",Individual House / Villa,4,4
FULL FURNISHED 3 BED ROOM AC FIRST FLOOR FOR MONTHLY RENT NEAR MIMS HO,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FULL FURNISHED 3 BED ROOM AC FIRST FLOOR FOR MONTHLY RENT NEAR MIMS HO","{'amount': '28000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/hwdi7lkvagmu1-IN/image;s=850x0,"FULL FURNISHED 3 BED ROOM AC FIRST FLOOR FOR MONTHLY RENT NEAR MIMS HOSPITAL ,CALICUT.,3 BED ROOM ATTACHED,HALL,KITCHEN,KWA WATER &WELL WATER,CAR SITE,ADVANCE:56000/-,RENT:28000/-",Super Deal,"Govindapuram, Kozhikode, Kerala",Flats / Apartments,3,3
3 bhk apartment near medical college,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevayoor,3 bhk apartment near medical college","{'amount': '21000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wh4d29ubx7il-IN/image;s=850x0,3 bhk apartment near medical college,Muneer..,"Chevayoor, Kozhikode, Kerala",Flats / Apartments,3,3
Fully furnished flat for Rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Karaparambu,Fully furnished flat for Rent","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/c6m132xs49291-IN/image;s=850x0,"Equipped with all basic electrical items like refrigerator, washing machines, air conditioner in one room, water purifier and heater,Cot with mattress, wardrobe and sofa,24 security ,CCTV coverage ,Swimming pool,Gym,Kids play area",Ajith,"Karaparambu, Kozhikode, Kerala",Flats / Apartments,2,2
well furnished,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Olavanna,For Rent: Houses & Apartments in Poovangal,well furnished","{'amount': '7500000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wgn0ghwnsddn1-IN/image;s=850x0,reasonable rate,Shafeel Wandoor,"Poovangal, Olavanna, Kerala",Flats / Apartments,3,2
Well maintained 2bhk house for rent at kottaram road Nadakkavu 1st flr,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Asokapuram,Well maintained 2bhk house for rent at kottaram road Nadakkavu 1st flr","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/wr546vaksn643-IN/image;s=850x0,"Well maintained 2bhk house for rent at Nadakkavu kottaram road, 1st floor...well water connection,2 bed room with attached bathroom,work area,kitchen,store room,2phase electricity connection,separate door access,terrace access, etc are available",Surya,"Asokapuram, Kozhikode, Kerala",Individual House / Villa,2,2
"3BHK Furnished Flat For Sale at P.T Usha Road,Calicut (NT)","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Cherooty Road,3BHK Furnished Flat For Sale at P.T Usha Road,Calicut (NT)","{'amount': '33000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/mxkhdroeulkt3-IN/image;s=850x0,"Are you looking for a Branded Flat ?,Here it is !,3Bhk Flat Available For Rent ,,1700sq.ft Fully - Furnished Flat for Rent at  P.T Usha Rod, Calicut,Rent : 33,000/-,**Amenities:**,* Fitness Center: Stay fit with state-of-the-art gym facilities.,* 24/7 Security: Ensuring your safety with advanced security systems.,* Children’s Play Area: Safe and fun space for kids to play.,* Community Hall: Ideal for hosting gatherings and events.,* Ample Parking: Secure parking space for your vehicles.,* Power Backup: Uninterrupted power supply for your convenience.,* Landscaped Gardens: Serene and beautiful green spaces.,""Note : Image shown are only for business purpose , actual building / Land may differ."",Other Available properties,*Panniker Road, 3bhk ,1600sq.ft , Semi, 25000/-,* Erahipalam ,2bhk,1200sq.ft , Furnished 27000/-,* Erahipalam , 3bhk, 1600sq.ft, semi, 23000/-,*Thondayad, 3bhk, 2000sq.ft , semi, 45000/-,* kottuli ,2bhk , 1000sq.ft,semi , 23000/-,*calicut Beach , 3bhk, 1600sq.ft,26000/-,* YMC , 1bhk, 700sq.ft semi,25000/-,* methoott Thazham 2bhk 800sq.ft semi , 16500/-,*pottammal, 3bhk , furnshed,25000/-,* East Hill, 3Bhk, Semi Furbished,23000/-,For More details, Contact:,Big Deals Realtors,4th Floor , Hilite Business Park , Palazhy - Calicut -,About Us :,Big Deals is Kerala’s No 1 real Estate Firm started in 2008 by a group of Professionals .Presently we have 8 branches in Kerala and an overseas branch at UAE , Our vast database of properties make it easier for our customers to get their dream property they deserve . Our specialized and trained relationship officers work tirelessly to find your dream property and negotiate the deal to arrive at the best possible value.,We are Executive Member of National Association of Realtors and Calicut Realtors Association – India with tie up of 43 associations across India and UAE.,We Provide the following Specialised Features :,* Hassle free Documentation,* Maintenance care –fixing of Electrical, Plumbing and Carpentry faults before handing over of the property,* Ensure Owner Dues Settlement – Association dues , Electricity , Water and Gas connection dues , land and property taxes etc",Big Deals,"Cherooty Road, Kozhikode, Kerala",Flats / Apartments,3,3
"4Bhk house for rent in chevarambalam, kozhikode.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,4Bhk house for rent in chevarambalam, kozhikode.","{'amount': '19000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/1oorom6abv6b2-IN/image;s=850x0,"4Bhk house for rent in chevarambalam, kozhikode.",Anoop Nair,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,4,4
3bhk house for rent  calicut,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Parayanchery,3bhk house for rent  calicut","{'amount': '22000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/uddlrhhwx2s31-IN/image;s=850x0,3bedroom 2bathroom stout dining kitchen,Hamza,"Parayanchery, Kozhikode, Kerala",Individual House / Villa,2,3
Flat rent. Full furnished. Eranhipalam,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranhipalam,Flat rent. Full furnished. Eranhipalam","{'amount': '30000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/4j0svk03k77w2-IN/image;s=850x0,"Kozhikode Eranhipalam.,3 bhk full furnished flat,Rent 30,000.,Parking, security, well water.,Bs94 nl 96 bs 42 nl 61 and 00",CityDeals,"Eranhipalam, Kozhikode, Kerala",Flats / Apartments,3,3
Single room & sharing .  With WIFI,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Puthiyara,Single room & sharing .  With WIFI","{'amount': '3500', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/mavgvhra40s9-IN/image;s=850x0,Single room & sharing .  Different rates with wifi and cooking gas .parking. roadside,Owner,"Puthiyara, Kozhikode, Kerala",Individual House / Villa,4,4+
Villa for rent,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Thondayad,Villa for rent","{'amount': '24000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/drzgv8so73pa3-IN/image;s=850x0,"3bhk,Unfurnished ,3km from hi lite mall ,Independent villa ,Call me",MIFTHAHUL,"Thondayad, Kozhikode, Kerala",Individual House / Villa,3,3
"UPSTAIR FOR RENT NEAR CHEVARAMBALAM, CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,UPSTAIR FOR RENT NEAR CHEVARAMBALAM, CALICUT.","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/rh77qa1d1owr3-IN/image;s=850x0,"UPSTAIR FOR RENT NEAR CHEVARAMBALAM, CALICUT.,2 BEDROOM,2 BATHROOM,HALL,KITCHEN,KWA WATER,CAR SITE.(FAMILY ONLY),ADVANCE:40000/-,RENT:12000/-",Super Deal,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,2,2
FULL FURNISHED AC UPSTAIR FOR RENT NEAR MIMS HOSPITAL CALICUT.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,FULL FURNISHED AC UPSTAIR FOR RENT NEAR MIMS HOSPITAL CALICUT.","{'amount': '23000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/ipwg8su1p8d03-IN/image;s=850x0,"FULL FURNISHED AC UPSTAIR FOR RENT NEAR MIMS HOSPITAL CALICUT.,2 BED ROOM ,HALL,KITCHEN,WORK AREA,GOOD WELL WATER,CAR SITE,ADVANCE:46000/-,RENT:23000/-",Super Deal,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,2,2
4 bedroom house krishnannair road...13000/-,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Krishnan Nair Road,4 bedroom house krishnannair road...13000/-","{'amount': '13000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/fobocfzd3grt2-IN/image;s=850x0,"4bedroom. 2common bathroom... Rent 13000/-advance. 50000/-,3bedroom house ground floor. 1bedroom attached. 1comman bathroom. Kunduparamb.. 12000/-rent. Advance -50000/-",OLX User,"Krishnan Nair Road, Kozhikode, Kerala",Individual House / Villa,2,4
HOSTEL BUILDING FOR RENT NEAR MIMS HOSPITAL CALICUT,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,HOSTEL BUILDING FOR RENT NEAR MIMS HOSPITAL CALICUT","{'amount': '100000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/oh1ckf8l1a7h-IN/image;s=850x0,"HOSTEL BUILDING FOR RENT NEAR MIMS HOSPITAL CALICUT,24  ROOM ATTACHED BATHROOM17,7 COMMON BATHROOM,HALL,KITCHEN,KWA WATER &WELL WATER,CAR SITE,ADVANCE :4LAKH,RENT:1LAKH",Super Deal,"Govindapuram, Kozhikode, Kerala",Flats / Apartments,4+,4+
"APARTMENT FOR RENT NEAR LULU MALL,MANKAVE,CALICUT.","Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Mankavu,APARTMENT FOR RENT NEAR LULU MALL,MANKAVE,CALICUT.","{'amount': '8000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/yq5g3vcdawcr1-IN/image;s=850x0,"APARTMENT FOR RENT NEAR LULU MALL,MANKAVE,CALICUT.,2 BED ROOM, HALL,KITCHEN,KWA WATER.,ADVANCE :25000/-,RENT:8000/-",Super Deal,"Mankavu, Kozhikode, Kerala",Flats / Apartments,1,2
3bhk semi furnished Apartment For Rent At Eranhipalam,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Eranjipalam,3bhk semi furnished Apartment For Rent At Eranhipalam","{'amount': '21000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/28h9qs30ssin-IN/image;s=850x0,"3 Bhk  Apartments for Rent At Eranhipalam,3Bhk attached, Wardrobe in 3 bed room,Cott and bed 1 Room ,Car parking ,Well water,Rent-21000+2000 mnc,More Details ,Endless properties ,2Ndfloor Kairali Complex ,Thondayad,Calicut",Endless properties,"Eranjipalam, Kozhikode, Kerala",Flats / Apartments,3,3
Nadakkavu nr Indus Motors 3BHK apartment for rent.ground floor.,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Nadakkavu,Nadakkavu nr Indus Motors 3BHK apartment for rent.ground floor.","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/pt2dz3dnkcp52-IN/image;s=850x0,"Nadakkavu near Indus Motors 3 BHK apartment for rent.2 car parking.,Ground floor.,Rent 12000,Advance 40000,Ph 96⁴56575¹6",96456575I6,"Nadakkavu, Kozhikode, Kerala",Flats / Apartments,,3
Standalone house for rent..,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Govindapuram,Standalone house for rent..","{'amount': '20000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/8ehxc9ywm9582-IN/image;s=850x0,"Within 5 mins - bus stand , railway station, lulu , other shopping mall, KV school, MIMS and baby hospital etc etc",Rakesh KM,"Govindapuram, Kozhikode, Kerala",Individual House / Villa,3,3
House for rent near St. Mary's English Medium School,"Home,Properties,For Rent: Houses & Apartments,For Rent: Houses & Apartments in Kerala,For Rent: Houses & Apartments in Kozhikode,For Rent: Houses & Apartments in Chevarambalam,House for rent near St. Mary's English Medium School","{'amount': '12000', 'currency': '₹'}",https://apollo.olx.in:443/v1/files/onqokv5sfvlg3-IN/image;s=850x0,"Single Floor spacious house with 3 bedrooms and 2 bathrooms (1 attached) near St. Mary's English Medium School, Chevarambalam with veranda and sit out. Wooden ceiling for rooms and concrete roof for rest of the house. Tiles floor. Advance amount - Rs. 40000 Eightt 0 eightt 9 sixx ninne ninne 6 onne zeero",Sugandhi P,"Chevarambalam, Kozhikode, Kerala",Individual House / Villa,2,3
